idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/medical/perturbations_0.onnx","vnnlib/medical/hyperrectangle_418.vnnlib",20,20,3.80,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0001__perturbations_0__hyperrectangle_418.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0001__perturbations_0__hyperrectangle_418.log"
2,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_992.vnnlib",20,20,21.49,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0002__perturbations_0__hyperrectangle_992.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0002__perturbations_0__hyperrectangle_992.log"
3,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_132.vnnlib",20,20,1.54,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0003__perturbations_0__hyperrectangle_132.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0003__perturbations_0__hyperrectangle_132.log"
4,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_2674.vnnlib",20,20,22.63,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0004__perturbations_0__hyperrectangle_2674.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0004__perturbations_0__hyperrectangle_2674.log"
5,"onnx/medical/perturbations_0.onnx","vnnlib/medical/hyperrectangle_2839.vnnlib",20,20,1.96,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0005__perturbations_0__hyperrectangle_2839.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0005__perturbations_0__hyperrectangle_2839.log"
6,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_6891.vnnlib",20,20,0.87,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0006__perturbations_0__hyperrectangle_6891.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0006__perturbations_0__hyperrectangle_6891.log"
7,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_1921.vnnlib",20,20,0.94,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0007__perturbations_0__hyperrectangle_1921.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0007__perturbations_0__hyperrectangle_1921.log"
8,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_3558.vnnlib",20,20,20.93,"timeout","timeout",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0008__perturbations_0__hyperrectangle_3558.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0008__perturbations_0__hyperrectangle_3558.log"
9,"onnx/medical/perturbations_0.onnx","vnnlib/medical/hyperrectangle_2884.vnnlib",20,20,1.04,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0009__perturbations_0__hyperrectangle_2884.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0009__perturbations_0__hyperrectangle_2884.log"
10,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_6394.vnnlib",20,20,1.18,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0010__perturbations_0__hyperrectangle_6394.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0010__perturbations_0__hyperrectangle_6394.log"
11,"onnx/medical/perturbations_0.onnx","vnnlib/medical/hyperrectangle_2330.vnnlib",20,20,1.51,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0011__perturbations_0__hyperrectangle_2330.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0011__perturbations_0__hyperrectangle_2330.log"
12,"onnx/medical/perturbations_0.onnx","vnnlib/medical/hyperrectangle_2626.vnnlib",20,20,4.13,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0012__perturbations_0__hyperrectangle_2626.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0012__perturbations_0__hyperrectangle_2626.log"
13,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_3536.vnnlib",20,20,10.13,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0013__perturbations_0__hyperrectangle_3536.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0013__perturbations_0__hyperrectangle_3536.log"
14,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_5651.vnnlib",20,20,3.85,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0014__perturbations_0__hyperrectangle_5651.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0014__perturbations_0__hyperrectangle_5651.log"
15,"onnx/ruarobot/perturbations_0.onnx","vnnlib/ruarobot/hyperrectangle_4032.vnnlib",20,20,5.82,"sat","sat",0,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0015__perturbations_0__hyperrectangle_4032.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/safenlp_2024/0015__perturbations_0__hyperrectangle_4032.log"
